"stn_code","stn_name","zone_code","division_code","latitude","longitude"
LPI,Lingampalli,SCR,SC,"17.48293066","78.31763294"
CJQ,Champajharan                                                ,SER,CKP,"22.064915","84.90932167"
GATL,GHATOLI,WCR,KOTA,"24.30417026","76.5137433"
HTCY,HITECH CITY,SCR,SC,"17.46982427","78.38534571"
LPJL,Lingampet Jagityal,SCR,SC,"18.78243094","78.88744474"
KPKI,QasimPur Kheri                                              ,NR,DLI,"29.18285667","77.28571167"
CK,Chiksugur,SCR,SC,"16.34527483","77.33820648"
BARI,Bari,NCR,AGRA,"26.64975833","77.61753833"
BARA,Bara,WCR,JBP,"26.18611341","73.69997949"
KPQ,Kannapuram                                                  ,SR,PGT,"11.98473533","75.31383583"
KRC,Kiroda                                                      ,NWR,JU,"27.00668333","74.31158333"
AMSG,"AIR FORCE SIDING, AMLA                                      ",CR,NGP,"21.919837","78.123307"
PMO,Pandoli                                                     ,NWR,AII,"24.86613333","74.39974167"
BARD,Duvri Kalan,WCR,JBP,"23.99269333","81.52916183"
BARH,Barh.                                                       ,ECR,DNR,"25.46196259","85.70924568"
HTN,Hatnapur,CR,NGP,"21.75636333","78.34796167"
HTZU,Hathidah Jn.  UPPER                                         ,ECR,DNR,"25.36732017","85.98837633"
KRCA,KARACHIYA YARD                                              ,WR,BRC,"22.381667","73.132529"
KRJ,Khurja Jn.,NCR,PRYJ,"28.20727833","77.818405"
BBD,Bablad,CR,SUR,"17.33697667","76.77932167"
CKD,Charkhi Dadri                                               ,NWR,BKN,"28.5996385","76.28048367"
CKE,Choki Sorath                                                ,WR,BVP,"21.664037","70.52949133"
HUP,Hindupur                                                    ,SWR,SBC,"13.818465","77.500255"
HVL,Honnavalli Road                                             ,SWR,MYS,"13.27564333","76.36821667"
HW,Haridwar Jn.                                                ,NR,MB,"29.9475725","78.15429183"
CKDL,Chakdayala,NR,JAT,"32.47956217","75.30404367"
KRHT,Kharahat,NFR,TSK,"27.07042334","94.74984843"
BBDA,BARBENDA,SER,ADRA,"23.42103567","86.12050465"
BBAE,Baidyabati,ER,HWH,"22.79499665","88.33187861"
AMGA,Amjonga,NFR,RNY,"25.98185071","90.85394035"
HWH,Howrah,ER,HWH,"22.58376167","88.34257167"
BBAI,Bhadbhunja                                                  ,WR,BCT,"21.16293567","73.66490917"
CKG,Chowka Ghat,NER,LJN,"27.10034552","81.44913968"
BBC,Bhachhbar                                                   ,NWR,JU,"25.73299167","71.00146389"
BBJ,Babaganj Halt,NER,LJN,"27.96059526","81.566284"
HWT,Hanwant                                                     ,NWR,JU,"26.06305","73.00565278"
BBDE,Babarpur                                                    ,NR,DLI,"29.45000833","76.96635333"
BBNH,BEDRA BOMMANAHALLI                                          ,SWR,MYS,"14.13681667","76.22511167"
KRMD,Kuarmunda                                                   ,SER,CKP,"22.31510578","84.7780383"
BNCE,Bengaluru East                                              ,SWR,SBC,"13.00117614","77.61828698"
ANJE,ANGARPATHRA HALT                                            ,ECR,DHN,"23.79358353","86.32001662"
CKH,Chakand                                                     ,ECR,DNR,"24.890274","84.99583133"
LPK,LEPETKATA,NFR,TSK,"27.34802554","94.83919386"
BNCR,BANCHARI,NCR,AGRA,"27.945625","77.363375"
IMAM,Imampuram,SCOR,GTL,"15.01199567","77.51812833"
AMT,Ammapet                                                     ,SR,TPJ,"10.77885427","79.3248749"
BBPR,Babupur (Halt),NER,LJN,"27.33894717","81.0775095"
BNBR,Bahanaga Bazar                                              ,SER,KGP,"21.336649","86.76231317"
GAUR,Gaur,NER,LJN,"26.90922287","82.57225928"
GBN,GARHBANAILI,NFR,KIR,"25.90270833","87.53511333"
LPN,Laopani,NFR,LMG,"26.19952833","92.59456"
AMWM,"MURULIDIH WASHERY,MAHUDA                                    ",SER,ADRA,"23.747011","86.270313"
LS,Lasalgaon,CR,BSL,"20.15493817","74.22579417"
BNC,Bengaluru Cant.                                             ,SWR,SBC,"12.993833","77.598168"
BBR,Bagh Bazar                                                  ,ER,SDAH,"22.60526662","88.36534501"
BBRD,Bhuban Road,ECOR,KUR,"20.92195028","85.79764722"
KRJR,Karjara                                                     ,ECR,DNR,"24.808933","85.1529665"
PNKD,Panki DHAM,NCR,PRYJ,"26.459917","80.236811"
BCJ,Bagaha Bishnupur                                            ,ECR,DDU,"24.82282778","84.21311944"
